HourOfYear,PV_kWh_per_kWp,,
995,0.1694475,67.779,
996,0.2272575,90.903,
997,0.1978625,79.145,
998,0.1661025,66.441,
999,0.1468425,58.737,
1000,0.11008,44.032,
1001,0.053365,21.346,
1002,0,0,
1003,0,0,
1004,0,0,
1005,0,0,
1006,0,0,
1007,0,0,
1008,0,0,
1009,0,0,
1010,0,0,
1011,0,0,
1012,0,0,
1013,0,0,
1014,0,0,
1015,0,0,
1016,0,0,
1017,0.03414,13.656,
1018,0.05581,22.324,
1019,0.1034575,41.383,
1020,0.1498825,59.953,
1021,0.261625,104.65,
1022,0.29555,118.22,
1023,0.2337825,93.513,
1024,0.1585675,63.427,
1025,0.079065,31.626,
1026,0,0,
1027,0,0,
1028,0,0,
1029,0,0,
1030,0,0,
1031,0,0,
1032,0,0,
1033,0,0,
1034,0,0,
1035,0,0,
1036,0,0,
1037,0,0,
1038,0,0,
1039,0,0,
1040,0,0,
1041,0.0778425,31.137,
1042,0.1698575,67.943,
1043,0.2341925,93.677,
1044,0.3023,120.92,
1045,0.335175,134.07,
1046,0.323125,129.25,
1047,0.26365,105.46,
1048,0.1905175,76.207,
1049,0.1246975,49.879,
1050,0.0075025,3.001,
1051,0,0,
1052,0,0,
1053,0,0,
1054,0,0,
1055,0,0,
1056,0,0,
1057,0,0,
1058,0,0,
1059,0,0,
1060,0,0,
1061,0,0,
1062,0,0,
1063,0,0,
1064,0,0,
1065,0.09253,37.012,
1066,0.18234,72.936,
1067,0.25125,100.5,
1068,0.322325,128.93,
1069,0.3534,141.36,
1070,0.335425,134.17,
1071,0.274225,109.69,
1072,0.1976575,79.063,
1073,0.1297125,51.885,
1074,0.012271,4.9084,
1075,0,0,
1076,0,0,
1077,0,0,
1078,0,0,
1079,0,0,
1080,0,0,
1081,0,0,
1082,0,0,
1083,0,0,
1084,0,0,
1085,0,0,
1086,0,0,
1087,0,0,
1088,0,0,
1089,0.084235,33.694,
1090,0.17105,68.42,
1091,0.2380225,95.209,
1092,0.3047,121.88,
1093,0.334575,133.83,
1094,0.32115,128.46,
1095,0.26285,105.14,
1096,0.1864525,74.581,
1097,0.1209125,48.365,
1098,0.0104445,4.1778,
1099,0,0,
1100,0,0,
1101,0,0,
1102,0,0,
1103,0,0,
1104,0,0,
1105,0,0,
1106,0,0,
1107,0,0,
1108,0,0,
1109,0,0,
1110,0,0,
1111,0,0,
1112,0,0,
1113,0.04085,16.34,
1114,0.0978175,39.127,
1115,0.18035,72.14,
1116,0.231015,92.406,
1117,0.21204,84.816,
1118,0.1962775,78.511,
1119,0.2176125,87.045,
1120,0.1463725,58.549,
1121,0.05245,20.98,
1122,0.0133675,5.347,
1123,0,0,
1124,0,0,
1125,0,0,
1126,0,0,
1127,0,0,
1128,0,0,
1129,0,0,
1130,0,0,
1131,0,0,
1132,0,0,
1133,0,0,
1134,0,0,
1135,0,0,
1136,0,0,
1137,0.003062,1.2248,
1138,0.03641,14.564,
1139,0.0451225,18.049,
1140,0.0563,22.52,
1141,0.077125,30.85,
1142,0.0753375,30.135,
1143,0.0493125,19.725,
1144,0.0380425,15.217,
1145,0.0402725,16.109,
1146,0,0,
1147,0,0,
1148,0,0,
1149,0,0,
1150,0,0,
1151,0,0,
1152,0,0,
1153,0,0,
1154,0,0,
1155,0,0,
1156,0,0,
1157,0,0,
1158,0,0,
1159,0,0,
1160,0,0,
1161,0.0243605,9.7442,
1162,0.0592175,23.687,
1163,0.1014625,40.585,
1164,0.276925,110.77,
1165,0.292975,117.19,
1166,0.1212325,48.493,
1167,0.104345,41.738,
1168,0.08091,32.364,
1169,0.05868,23.472,
1170,0.0184285,7.3714,
1171,0,0,
1172,0,0,
1173,0,0,
1174,0,0,
1175,0,0,
1176,0,0,
1177,0,0,
1178,0,0,
1179,0,0,
1180,0,0,
1181,0,0,
1182,0,0,
1183,0,0,
1184,0,0,
1185,0.02861,11.444,
1186,0.0937675,37.507,
1187,0.0626425,25.057,
1188,0.08348,33.392,
1189,0.0581425,23.257,
1190,0.01879125,7.5165,
1191,0.05027,20.108,
1192,0.0330175,13.207,
1193,0.0251125,10.045,
1194,0,0,
1195,0,0,
1196,0,0,
1197,0,0,
1198,0,0,
1199,0,0,
1200,0,0,
1201,0,0,
1202,0,0,
1203,0,0,
1204,0,0,
1205,0,0,
1206,0,0,
1207,0,0,
1208,0,0,
1209,0.003061,1.2244,
1210,0.020517,8.2068,
1211,0.036285,14.514,
1212,0.057735,23.094,
1213,0.007236,2.8944,
1214,0.01193425,4.7737,
1215,0.02052525,8.2101,
1216,0.031,12.4,
1217,0.0257,10.28,
1218,0,0,
1219,0,0,
1220,0,0,
1221,0,0,
1222,0,0,
1223,0,0,
1224,0,0,
1225,0,0,
1226,0,0,
1227,0,0,
1228,0,0,
1229,0,0,
1230,0,0,
1231,0,0,
1232,0,0,
1233,0.03443,13.772,
1234,0.108895,43.558,
1235,0.0773825,30.953,
1236,0.1092925,43.717,
1237,0.1593225,63.729,
1238,0.2403,96.12,
1239,0.1165175,46.607,
1240,0.1269575,50.783,
1241,0.1233025,49.321,
1242,0.01352225,5.4089,
