HourOfYear,FarmLoad_kWh,,,,
634,29.775,,,,
635,20.445,,,,
636,23.05,,,,
637,20.12,,,,
638,33.255,,,,
639,25.62,,,,
640,36.98,,,,
641,31.575,,,,
642,37.515,,,,
643,25.595,,,,
644,31.25,,,,
645,25.485,,,,
646,25.45,,,,
647,30.82,,,,
648,25.595,,,,
649,30.26,,,,
650,25.83,,,,
651,32.095,,,,
652,25.585,,,,
653,32.065,,,,
654,25.765,,,,
655,25.625,,,,
656,25.68,,,,
657,25.47,,,,
658,30.155,,,,
659,26.335,,,,
660,27.595,,,,
661,21.35,,,,
662,29.92,,,,
663,24.375,,,,
664,35.04,,,,
665,31.38,,,,
666,37.045,,,,
667,26.855,,,,
668,30.19,,,,
669,25.075,,,,
670,25.085,,,,
671,30.515,,,,
672,24.905,,,,
673,30.285,,,,
674,24.9,,,,
675,31.75,,,,
676,24.725,,,,
677,31.56,,,,
678,25.105,,,,
679,24.905,,,,
680,25.135,,,,
681,31.79,,,,
682,36.005,,,,
683,30.68,,,,
684,31.815,,,,
685,25.295,,,,
686,31.89,,,,
687,29.59,,,,
688,39.41,,,,
689,37.56,,,,
690,37.81,,,,
691,29.21,,,,
692,33.955,,,,
693,29.19,,,,
694,29.12,,,,
695,34.28,,,,
696,29.3,,,,
697,35.185,,,,
698,29.455,,,,
699,35.375,,,,
700,29.11,,,,
701,34.25,,,,
702,29.32,,,,
703,29.19,,,,
704,29.335,,,,
705,33.515,,,,
706,33.115,,,,
707,25.21,,,,
708,28.485,,,,
709,24.935,,,,
710,33.32,,,,
711,27.165,,,,
712,33.135,,,,
713,27.355,,,,
714,34.165,,,,
715,28.135,,,,
716,34.17,,,,
717,28.4,,,,
718,28.8,,,,
719,34.61,,,,
720,28.685,,,,
721,35.075,,,,
722,29.11,,,,
723,37.085,,,,
724,28.69,,,,
725,36.595,,,,
726,28.85,,,,
727,28.81,,,,
728,28.125,,,,
729,28.245,,,,
730,34.37,,,,
731,27.365,,,,
732,31.935,,,,
733,26.14,,,,
734,35.655,,,,
735,26.095,,,,
736,38.51,,,,
737,28.86,,,,
738,34.74,,,,
739,28.885,,,,
740,36.715,,,,
741,30.135,,,,
742,30.515,,,,
743,36.665,,,,
744,30.49,,,,
745,37.165,,,,
746,30.695,,,,
747,39.245,,,,
748,30.655,,,,
749,37.635,,,,
750,30.755,,,,
751,30.565,,,,
752,30.695,,,,
753,30.67,,,,
754,35.285,,,,
755,22.69,,,,
756,29.805,,,,
757,22.38,,,,
758,29.685,,,,
759,22.59,,,,
760,37.11,,,,
761,27.62,,,,
762,35.465,,,,
763,28.42,,,,
764,37.875,,,,
765,28.345,,,,
766,28.48,,,,
767,36.535,,,,
768,28.545,,,,
769,37.175,,,,
770,28.65,,,,
771,38.43,,,,
772,28.465,,,,
773,36.635,,,,
774,28.32,,,,
775,28.465,,,,
776,28.595,,,,
777,34.445,,,,
778,41.45,,,,
779,33.645,,,,
780,41.345,,,,
781,33.33,,,,
782,38.53,,,,
783,34.25,,,,
784,41.755,,,,
785,28.15,,,,
786,35.155,,,,
787,27.955,,,,
788,35.915,,,,
789,27.16,,,,
790,27.075,,,,
791,33.58,,,,
792,26.95,,,,
793,36.88,,,,
794,27.375,,,,
795,36.435,,,,
796,27.175,,,,
797,34.425,,,,
798,27.25,,,,
799,27.18,,,,
800,27.14,,,,
801,27.165,,,,
802,32.725,,,,
803,26.445,,,,
804,32.525,,,,
805,26.7,,,,
806,36.265,,,,
807,27.065,,,,
808,35.365,,,,
809,28.18,,,,
810,35.115,,,,
811,28.57,,,,
812,36.15,,,,
813,28.28,,,,
814,28.575,,,,
815,36.43,,,,
816,29.315,,,,
817,36.695,,,,
818,29.515,,,,
819,37.34,,,,
820,29.2,,,,
821,32.465,,,,
822,27.805,,,,
823,27.865,,,,
824,27.79,,,,
825,28.54,,,,
826,41.68,,,,
827,33.85,,,,
828,42.3,,,,
829,33.585,,,,
830,42.245,,,,
831,28.09,,,,
832,33.595,,,,
833,27.545,,,,
834,33.88,,,,
835,27.84,,,,
836,35.78,,,,
837,29.145,,,,
838,29.735,,,,
839,36.76,,,,
840,29.92,,,,
841,37.8,,,,
842,29.805,,,,
843,39.285,,,,
844,29.845,,,,
845,37.84,,,,
846,30.18,,,,
847,30.25,,,,
848,30.355,,,,
849,38.23,,,,
850,45.56,,,,
851,36.34,,,,
852,34.01,,,,
853,27.425,,,,
854,39.63,,,,
855,33.575,,,,
856,41.24,,,,
857,35.235,,,,
858,42.42,,,,
859,29.08,,,,
860,35.15,,,,
861,28.29,,,,
862,28.345,,,,
863,34.175,,,,
864,28.115,,,,
865,34.675,,,,
866,28.305,,,,
867,34.795,,,,
868,28.07,,,,
869,33.57,,,,
870,28.04,,,,
871,27.995,,,,
872,28.1,,,,
873,36.025,,,,
874,37.42,,,,
875,35.74,,,,
876,41.17,,,,
877,35.45,,,,
878,47.315,,,,
879,35.68,,,,
880,44.185,,,,
881,34.785,,,,
882,33.025,,,,
883,28.635,,,,
884,35.435,,,,
885,28.27,,,,
886,27.53,,,,
887,33.29,,,,
888,27.705,,,,
889,33.65,,,,
890,28.21,,,,
891,36.105,,,,
892,27.855,,,,
893,35.02,,,,
894,27.995,,,,
895,27.875,,,,
896,27.865,,,,
897,29.06,,,,
898,45.77,,,,
899,37.475,,,,
900,42.405,,,,
901,35.385,,,,
902,42.26,,,,
903,32.04,,,,
904,41.745,,,,
905,36.92,,,,
906,38.13,,,,
907,30.73,,,,
908,39.265,,,,
909,30.89,,,,
910,30.69,,,,
911,37.58,,,,
912,30.675,,,,
913,39.695,,,,
914,30.995,,,,
915,41.4,,,,
916,30.93,,,,
917,39.11,,,,
918,30.995,,,,
919,30.895,,,,
920,30.95,,,,
921,34.925,,,,
922,42.25,,,,
923,33.175,,,,
924,39.195,,,,
925,32.82,,,,
926,40.855,,,,
927,32.835,,,,
928,41.325,,,,
929,33.01,,,,
930,34.035,,,,
931,25.66,,,,
932,31.065,,,,
933,25.775,,,,
934,25.365,,,,
935,31.545,,,,
936,25.215,,,,
937,31.03,,,,
938,25.48,,,,
939,31.825,,,,
940,25.02,,,,
941,30.295,,,,
942,25.485,,,,
943,25.305,,,,
944,25.535,,,,
945,36.93,,,,
946,41.635,,,,
947,33.825,,,,
948,38.145,,,,
949,31.955,,,,
950,37.605,,,,
951,33.475,,,,
952,39.01,,,,
953,34.175,,,,
954,38.735,,,,
955,26.68,,,,
956,32.735,,,,
957,26.33,,,,
958,26.4,,,,
959,31.795,,,,
960,27.665,,,,
961,34.595,,,,
962,29.17,,,,
963,36.485,,,,
964,29.025,,,,
965,35.045,,,,
966,28.805,,,,
967,28.76,,,,
968,28.675,,,,
969,34.585,,,,
970,36.2,,,,
971,26.275,,,,
972,29.705,,,,
973,25.155,,,,
974,32.41,,,,
975,29.095,,,,
976,35.72,,,,
977,33.25,,,,
978,35.88,,,,
979,26.705,,,,
980,34.07,,,,
981,26.59,,,,
982,26.475,,,,
983,30.635,,,,
984,25.13,,,,
985,32.7,,,,
986,25.475,,,,
987,34.59,,,,
988,25.17,,,,
989,33.325,,,,
990,25.415,,,,
991,25.06,,,,
992,25.38,,,,
993,27.6,,,,
994,38.995,,,,
995,32.765,,,,
996,40.795,,,,
997,32.22,,,,
998,43.37,,,,
999,32.005,,,,
1000,37.935,,,,
1001,25.97,,,,
1002,33.055,,,,
1003,26.485,,,,
1004,34.52,,,,
1005,24.99,,,,
1006,25.31,,,,
1007,33.715,,,,
1008,25.225,,,,
1009,33.33,,,,
1010,25.3,,,,
1011,35.615,,,,
1012,25.365,,,,
1013,33.805,,,,
1014,25.33,,,,
1015,25.39,,,,
1016,25.395,,,,
1017,27.18,,,,
1018,33.54,,,,
1019,24.77,,,,
1020,30.705,,,,
1021,25.48,,,,
1022,32.58,,,,
1023,25.76,,,,
1024,29.2,,,,
1025,25.4,,,,
1026,33.365,,,,
1027,26.035,,,,
1028,33.045,,,,
1029,26.645,,,,
1030,26.805,,,,
1031,32.695,,,,
1032,26.675,,,,
1033,33.735,,,,
1034,26.96,,,,
1035,33.645,,,,
1036,26.435,,,,
1037,31.745,,,,
1038,26.675,,,,
1039,26.305,,,,
1040,26.3,,,,
1041,27.47,,,,
1042,29.275,,,,
1043,20.55,,,,
1044,27.75,,,,
1045,18.29,,,,
1046,21.385,,,,
1047,19.625,,,,
1048,26.625,,,,
1049,24.055,,,,
1050,30.3,,,,
1051,23.11,,,,
1052,30.745,,,,
1053,22.78,,,,
1054,22.845,,,,
1055,34.765,,,,
1056,22.69,,,,
1057,30.51,,,,
1058,22.715,,,,
1059,31.235,,,,
